B2 B3 B4 B5 B6 B7 B8 B8A B11 B12
286.0199605198891 405.18037659274887 411.25463778687924 571.9861409694145 1072.6756678513234 1197.899534826448 1072.9284611423323 1319.1460804286621 852.1904464893652 488.7007073598392
1013.6381061603327 1413.522582922234 1806.2822235112528 2053.436057062782 2537.9758292163283 2781.692080854299 2813.2737171081167 3039.591289443766 3268.203485735808 2525.5464134507424
380.1689250207393 614.8408108951156 469.9231991298048 891.1158194317736 2324.634673446206 2657.4487509938976 2523.7941109058584 2805.8777302059225 1318.5291922321628 634.8721353644488
153.41978700379022 282.8747689674575 199.8557239738778 463.04745653421344 1186.4227002146026 1387.3962209153167 1409.911048034255 1490.2357194350543 818.4144635862684 413.67612374750786
471.9468690441591 710.8454811919178 691.4435563969423 1082.447246032086 1878.412586615586 2149.7568250002064 2210.651212906888 2316.5988599362145 1515.3850361426307 896.9497637736404
243.84351980802248 389.6239752359651 223.11549783430138 568.6971950585803 1801.8049148669613 2177.389536288313 2438.301695480333 2260.1643018165505 820.2633203308477 377.12347795331567
512.9819663846575 762.6929000281717 970.790264436043 1278.6181476017407 1950.1528102837979 2254.3755845464784 2370.198908321352 2612.1895037635127 2027.559052630286 1306.5931342853055
446.5150168386148 675.5443668619229 598.6079758113204 1060.8703735790589 2608.6636537665977 3156.421340576816 3276.5731436180004 3343.1576505478365 1789.5096952084634 1078.6681233950499
375.7292568868335 567.386159492992 530.0262097467328 898.6978305529892 2010.8381324104944 2567.5857130080053 2610.709606135115 2739.998124508111 1393.5152901911658 767.5255933361208
460.8858834469433 708.0886458772335 706.1231771250322 1006.5975398754515 2318.689853610695 3012.66269461231 3041.8990679819008 3171.4256246050477 1870.347625741291 1186.308611051857
416.9747849720763 604.6681892699469 568.8602214308589 924.12589099202 2454.1111006169695 2974.491333719348 3081.656143168814 3104.596577493285 1529.569520989373 1037.7043634534757
654.6000340806598 904.9308847431212 885.3666683892471 1263.7658638309645 2259.9556315216096 2525.633834200638 2721.757045773071 2711.983315785722 1979.1354218357892 1331.4982139163326
766.4475315669584 1098.2919209811164 1307.0370642051648 1578.454741027508 2350.377113722846 2731.325440982319 2776.3471570959528 2905.6276458094126 2549.097048258482 1932.9323334557482
331.11984284433834 523.9242686405803 506.97591817492656 806.0127011394056 1574.319749880939 1813.998613334088 1852.4518840051312 1970.4132896977403 1472.3202534075876 940.1485802305452
542.8703356562114 789.1190995831984 850.5201596131417 1191.5059154786613 2561.3214703154854 3332.280572444133 3429.7061650442806 3555.149744992499 1971.6939968193988 1290.5657838678917
425.21490048975016 633.0804976925401 635.1147187179513 933.087050922798 1941.4588121901174 2303.837133440631 2445.288102141697 2472.9097686470022 1618.657622957077 1064.810321721181
444.79981327086637 676.0287573765802 741.8444044214222 1004.8131071017968 1768.1765809356787 2002.6286449482327 2042.3949566259898 2112.549990664068 1638.901270987776 1164.8715918417943
1123.973529669066 1458.5511106731383 1667.8386243359537 1935.853093705591 2730.937526785175 3030.202315364618 3042.5957956212706 3280.049493859661 2937.6507783409734 2158.8300275418133
460.5120991483199 636.8935493316965 653.4951370303492 889.7377871989826 1693.2634230217482 2123.6776527545126 2157.1758737021323 2272.598570932367 1550.279921645762 1118.5278326084858
400.6867229680147 527.4817518778467 639.2719308841102 784.6410244156202 1108.6967766581856 1251.4611494618462 1287.4256907046627 1389.3496131872128 1549.201260437449 1253.9436336041601
397.10557504140615 558.6874623332964 732.162268213259 833.47480237104 992.656526516844 1084.436166786663 1109.073511128702 1200.1828497827703 1523.8988087407347 1217.1357131618313
589.7006332457279 847.68015291904 1129.7183040789184 1312.6083109249107 1692.7177875558095 1893.8908573764677 1948.928127478166 2145.4226936457785 2023.24424242853 1443.5898749563485
493.8400342873927 733.0187733350269 782.8676857200696 1123.5404019067955 2495.5329333137506 2974.9794685454117 3079.7381904493495 3121.6459656887905 1840.0745847702442 1285.4169657245154
311.1906198761459 488.6118269685479 458.28247529242253 698.3812589437347 1540.5128673546787 1781.6646067531171 1816.218100648877 1848.3577564861316 1100.1364286544135 698.5275726203123
536.6611977381731 846.2786026074044 783.3662234400626 1214.4867590335134 2348.2480493840358 2568.495312717086 2789.133258432226 2726.7548735451146 1841.0368317855407 1083.0018837683954
534.3856319166521 861.2459677280899 809.6875314685918 1284.3745117003073 2836.837489018184 3422.770216483239 3600.3288181138 3549.5859060582343 2164.6652359122145 1400.9446745367143
